Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,100%,9e-16,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCB1021502.1?report=genbank&log$=prottop&blast_rank=2045&RID=1W6HPFAE013"",""HCB1021502.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia piriflorinigrans],Erwinia piriflorinigrans,77.4,77.4,94%,9e-16,77.78,166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023653477.1?report=genbank&log$=prottop&blast_rank=2046&RID=1W6HPFAE013"",""WP_023653477.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Erwinia],Erwinia,77.0,77.0,98%,9e-16,78.72,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_167864787.1?report=genbank&log$=prottop&blast_rank=2047&RID=1W6HPFAE013"",""WP_167864787.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter sp. Ap-1006],Enterobacter sp. Ap-1006,77.0,77.0,98%,9e-16,70.21,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_166879472.1?report=genbank&log$=prottop&blast_rank=2048&RID=1W6HPFAE013"",""WP_166879472.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia rhapontici],Erwinia rhapontici,77.0,77.0,98%,9e-16,78.72,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159338548.1?report=genbank&log$=prottop&blast_rank=2049&RID=1W6HPFAE013"",""WP_159338548.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia rhapontici],Erwinia rhapontici,77.0,77.0,98%,9e-16,78.72,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133846819.1?report=genbank&log$=prottop&blast_rank=2050&RID=1W6HPFAE013"",""WP_133846819.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacteriaceae],Enterobacteriaceae,77.0,77.0,98%,9e-16,70.21,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008455452.1?report=genbank&log$=prottop&blast_rank=2051&RID=1W6HPFAE013"",""WP_008455452.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,100%,9e-16,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_141498877.1?report=genbank&log$=prottop&blast_rank=2052&RID=1W6HPFAE013"",""WP_141498877.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia persicina],Erwinia persicina,77.0,77.0,98%,9e-16,76.60,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062748666.1?report=genbank&log$=prottop&blast_rank=2053&RID=1W6HPFAE013"",""WP_062748666.1"")"
transcription/translation regulatory transformer protein RfaH [Huaxiibacter chinensis],Huaxiibacter chinensis,77.0,77.0,98%,9e-16,76.60,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064327878.1?report=genbank&log$=prottop&blast_rank=2054&RID=1W6HPFAE013"",""WP_064327878.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,100%,9e-16,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBS7465308.1?report=genbank&log$=prottop&blast_rank=2055&RID=1W6HPFAE013"",""HBS7465308.1"")"
transcription/translation regulatory transformer protein RfaH [Lelliottia sp. WAP21],Lelliottia sp. WAP21,77.0,77.0,98%,9e-16,76.60,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_230353366.1?report=genbank&log$=prottop&blast_rank=2056&RID=1W6HPFAE013"",""WP_230353366.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia sp. P6884],Erwinia sp. P6884,77.0,77.0,100%,1e-15,75.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_342908235.1?report=genbank&log$=prottop&blast_rank=2057&RID=1W6HPFAE013"",""WP_342908235.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter sp. Cy-643],Enterobacter sp. Cy-643,77.0,77.0,98%,1e-15,70.21,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_166869239.1?report=genbank&log$=prottop&blast_rank=2058&RID=1W6HPFAE013"",""WP_166869239.1"")"
transcription/translation regulatory transformer protein RfaH [Cedecea neteri],Cedecea neteri,77.0,77.0,98%,1e-15,70.21,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_311888042.1?report=genbank&log$=prottop&blast_rank=2059&RID=1W6HPFAE013"",""WP_311888042.1"")"
transcription/translation regulatory transformer protein RfaH [Serratia bockelmannii],Serratia bockelmannii,74.3,74.3,98%,1e-15,65.96,64,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDI9227571.1?report=genbank&log$=prottop&blast_rank=2060&RID=1W6HPFAE013"",""MDI9227571.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFY8636455.1?report=genbank&log$=prottop&blast_rank=2061&RID=1W6HPFAE013"",""MFY8636455.1"")"
transcription/translation regulatory transformer protein RfaH [Pantoea sp. IMH],Pantoea sp. IMH,77.0,77.0,100%,1e-15,75.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_024966067.1?report=genbank&log$=prottop&blast_rank=2062&RID=1W6HPFAE013"",""WP_024966067.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ4640308.1?report=genbank&log$=prottop&blast_rank=2063&RID=1W6HPFAE013"",""MCJ4640308.1"")"
transcription/translation regulatory transformer protein RfaH [Mangrovibacter sp. MFB070],Mangrovibacter sp. MFB070,77.0,77.0,100%,1e-15,70.83,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_036115537.1?report=genbank&log$=prottop&blast_rank=2064&RID=1W6HPFAE013"",""WP_036115537.1"")"
transcription/translation regulatory transformer protein RfaH [Mixta theicola],Mixta theicola,77.0,77.0,98%,1e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103060922.1?report=genbank&log$=prottop&blast_rank=2065&RID=1W6HPFAE013"",""WP_103060922.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,98%,1e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKW4693438.1?report=genbank&log$=prottop&blast_rank=2066&RID=1W6HPFAE013"",""EKW4693438.1"")"
transcription/translation regulatory transformer protein RfaH [Mixta gaviniae],Mixta gaviniae,77.0,77.0,98%,1e-15,74.47,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104959244.1?report=genbank&log$=prottop&blast_rank=2067&RID=1W6HPFAE013"",""WP_104959244.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCD7879902.1?report=genbank&log$=prottop&blast_rank=2068&RID=1W6HPFAE013"",""HCD7879902.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,77.0,77.0,98%,1e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_223372167.1?report=genbank&log$=prottop&blast_rank=2069&RID=1W6HPFAE013"",""WP_223372167.1"")"
transcription/translation regulatory transformer protein RfaH [Siccibacter colletis],Siccibacter colletis,77.0,77.0,98%,1e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264385047.1?report=genbank&log$=prottop&blast_rank=2070&RID=1W6HPFAE013"",""WP_264385047.1"")"
transcription/translation regulatory transformer protein RfaH [Phytobacter massiliensis],Phytobacter massiliensis,77.0,77.0,98%,1e-15,70.21,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044185763.1?report=genbank&log$=prottop&blast_rank=2071&RID=1W6HPFAE013"",""WP_044185763.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia sp. Eh17-17],Erwinia sp. Eh17-17,77.0,77.0,98%,1e-15,76.60,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_346579100.1?report=genbank&log$=prottop&blast_rank=2072&RID=1W6HPFAE013"",""WP_346579100.1"")"
transcription/translation regulatory transformer protein RfaH [Buttiauxella warmboldiae],Buttiauxella warmboldiae,76.6,76.6,98%,1e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124024401.1?report=genbank&log$=prottop&blast_rank=2073&RID=1W6HPFAE013"",""WP_124024401.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacteriaceae bacterium],Enterobacteriaceae bacterium,77.0,77.0,100%,1e-15,70.83,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HKS33188.1?report=genbank&log$=prottop&blast_rank=2074&RID=1W6HPFAE013"",""HKS33188.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Pantoea ananatis]",Pantoea ananatis,74.3,74.3,98%,1e-15,72.34,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PZD57585.1?report=genbank&log$=prottop&blast_rank=2075&RID=1W6HPFAE013"",""PZD57585.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDN2595444.1?report=genbank&log$=prottop&blast_rank=2076&RID=1W6HPFAE013"",""MDN2595444.1"")"
transcription/translation regulatory transformer protein RfaH [[Pantoea] beijingensis],[Pantoea] beijingensis,76.6,76.6,98%,1e-15,76.60,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_128176264.1?report=genbank&log$=prottop&blast_rank=2077&RID=1W6HPFAE013"",""WP_128176264.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_117132215.1?report=genbank&log$=prottop&blast_rank=2078&RID=1W6HPFAE013"",""WP_117132215.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_225372614.1?report=genbank&log$=prottop&blast_rank=2079&RID=1W6HPFAE013"",""WP_225372614.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBR3261936.1?report=genbank&log$=prottop&blast_rank=2080&RID=1W6HPFAE013"",""HBR3261936.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_049186488.1?report=genbank&log$=prottop&blast_rank=2081&RID=1W6HPFAE013"",""WP_049186488.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EMW3553076.1?report=genbank&log$=prottop&blast_rank=2082&RID=1W6HPFAE013"",""EMW3553076.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCF0407923.1?report=genbank&log$=prottop&blast_rank=2083&RID=1W6HPFAE013"",""MCF0407923.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,1e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110047722.1?report=genbank&log$=prottop&blast_rank=2084&RID=1W6HPFAE013"",""WP_110047722.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,76.3,76.3,77%,1e-15,97.30,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBB0974621.1?report=genbank&log$=prottop&blast_rank=2085&RID=1W6HPFAE013"",""MBB0974621.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella aerogenes],Klebsiella aerogenes,76.6,76.6,92%,1e-15,79.55,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCD5424447.1?report=genbank&log$=prottop&blast_rank=2086&RID=1W6HPFAE013"",""HCD5424447.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella aerogenes],Klebsiella aerogenes,76.6,76.6,98%,1e-15,74.47,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDS7774397.1?report=genbank&log$=prottop&blast_rank=2087&RID=1W6HPFAE013"",""HDS7774397.1"")"
transcription/translation regulatory transformer protein RfaH [Mangrovibacter yixingensis],Mangrovibacter yixingensis,76.6,76.6,100%,1e-15,70.83,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_226573918.1?report=genbank&log$=prottop&blast_rank=2088&RID=1W6HPFAE013"",""WP_226573918.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,96%,1e-15,73.91,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBR4927590.1?report=genbank&log$=prottop&blast_rank=2089&RID=1W6HPFAE013"",""HBR4927590.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Raoultella],Raoultella,76.6,76.6,98%,1e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041143524.1?report=genbank&log$=prottop&blast_rank=2090&RID=1W6HPFAE013"",""WP_041143524.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Kosakonia],Kosakonia,76.6,76.6,96%,1e-15,76.09,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042716360.1?report=genbank&log$=prottop&blast_rank=2091&RID=1W6HPFAE013"",""WP_042716360.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,98%,1e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042919235.1?report=genbank&log$=prottop&blast_rank=2092&RID=1W6HPFAE013"",""WP_042919235.1"")"
transcription/translation regulatory transformer protein RfaH [Raoultella terrigena],Raoultella terrigena,76.6,76.6,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_290016761.1?report=genbank&log$=prottop&blast_rank=2093&RID=1W6HPFAE013"",""WP_290016761.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Kosakonia],Kosakonia,76.6,76.6,96%,2e-15,76.09,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023479606.1?report=genbank&log$=prottop&blast_rank=2094&RID=1W6HPFAE013"",""WP_023479606.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,2e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058836905.1?report=genbank&log$=prottop&blast_rank=2095&RID=1W6HPFAE013"",""WP_058836905.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia aphidicola],Erwinia aphidicola,76.6,76.6,98%,2e-15,76.60,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_338492336.1?report=genbank&log$=prottop&blast_rank=2096&RID=1W6HPFAE013"",""WP_338492336.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110239510.1?report=genbank&log$=prottop&blast_rank=2097&RID=1W6HPFAE013"",""WP_110239510.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,2e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOE0289185.1?report=genbank&log$=prottop&blast_rank=2098&RID=1W6HPFAE013"",""EOE0289185.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella aerogenes],Klebsiella aerogenes,76.6,76.6,98%,2e-15,74.47,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBQ2596628.1?report=genbank&log$=prottop&blast_rank=2099&RID=1W6HPFAE013"",""HBQ2596628.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_334683079.1?report=genbank&log$=prottop&blast_rank=2100&RID=1W6HPFAE013"",""WP_334683079.1"")"
transcription/translation regulatory transformer protein RfaH [Mangrovibacter phragmitis],Mangrovibacter phragmitis,76.6,76.6,100%,2e-15,70.83,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064596940.1?report=genbank&log$=prottop&blast_rank=2101&RID=1W6HPFAE013"",""WP_064596940.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.6,76.6,100%,2e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149795795.1?report=genbank&log$=prottop&blast_rank=2102&RID=1W6HPFAE013"",""WP_149795795.1"")"
transcription/translation regulatory transformer protein RfaH [Kosakonia sp. SMBL-WEM22],Kosakonia sp. SMBL-WEM22,76.6,76.6,96%,2e-15,76.09,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187800522.1?report=genbank&log$=prottop&blast_rank=2103&RID=1W6HPFAE013"",""WP_187800522.1"")"
transcription/translation regulatory transformer protein RfaH [Shimwellia pseudoproteus],Shimwellia pseudoproteus,76.3,76.3,96%,2e-15,71.74,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_199015868.1?report=genbank&log$=prottop&blast_rank=2104&RID=1W6HPFAE013"",""WP_199015868.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Vibrio diabolicus]",Vibrio diabolicus,76.3,76.3,94%,2e-15,75.56,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_256956620.1?report=genbank&log$=prottop&blast_rank=2105&RID=1W6HPFAE013"",""WP_256956620.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [unclassified Raoultella],unclassified Raoultella,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159872508.1?report=genbank&log$=prottop&blast_rank=2106&RID=1W6HPFAE013"",""WP_159872508.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Erwinia],Erwinia,76.3,76.3,98%,2e-15,76.60,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048914394.1?report=genbank&log$=prottop&blast_rank=2107&RID=1W6HPFAE013"",""WP_048914394.1"")"
transcription/translation regulatory transformer protein RfaH [Pantoea alhagi],Pantoea alhagi,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085072264.1?report=genbank&log$=prottop&blast_rank=2108&RID=1W6HPFAE013"",""WP_085072264.1"")"
transcription/translation regulatory transformer protein RfaH [Mangrovibacter phragmitis],Mangrovibacter phragmitis,76.3,76.3,100%,2e-15,70.83,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_353613599.1?report=genbank&log$=prottop&blast_rank=2109&RID=1W6HPFAE013"",""WP_353613599.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKV8492590.1?report=genbank&log$=prottop&blast_rank=2110&RID=1W6HPFAE013"",""EKV8492590.1"")"
transcription/translation regulatory transformer protein RfaH [Mixta hanseatica],Mixta hanseatica,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_249892542.1?report=genbank&log$=prottop&blast_rank=2111&RID=1W6HPFAE013"",""WP_249892542.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFT0238773.1?report=genbank&log$=prottop&blast_rank=2112&RID=1W6HPFAE013"",""HFT0238773.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_135731131.1?report=genbank&log$=prottop&blast_rank=2113&RID=1W6HPFAE013"",""WP_135731131.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.3,76.3,100%,2e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBS0410401.1?report=genbank&log$=prottop&blast_rank=2114&RID=1W6HPFAE013"",""HBS0410401.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.3,76.3,94%,2e-15,75.56,159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115723433.1?report=genbank&log$=prottop&blast_rank=2115&RID=1W6HPFAE013"",""WP_115723433.1"")"
transcriptional antiterminator RfaH [Izhakiella capsodis],Izhakiella capsodis,77.0,77.0,100%,2e-15,68.75,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SFN50375.1?report=genbank&log$=prottop&blast_rank=2116&RID=1W6HPFAE013"",""SFN50375.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,76.3,76.3,100%,2e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EMG2956048.1?report=genbank&log$=prottop&blast_rank=2117&RID=1W6HPFAE013"",""EMG2956048.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia amylovora],Erwinia amylovora,76.3,76.3,94%,2e-15,75.56,166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004167938.1?report=genbank&log$=prottop&blast_rank=2118&RID=1W6HPFAE013"",""WP_004167938.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia amylovora],Erwinia amylovora,76.3,76.3,94%,2e-15,75.56,166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004154962.1?report=genbank&log$=prottop&blast_rank=2119&RID=1W6HPFAE013"",""WP_004154962.1"")"
transcription/translation regulatory transformer protein RfaH [Edaphovirga cremea],Edaphovirga cremea,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114194877.1?report=genbank&log$=prottop&blast_rank=2120&RID=1W6HPFAE013"",""WP_114194877.1"")"
transcription/translation regulatory transformer protein RfaH [Jejubacter calystegiae],Jejubacter calystegiae,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_138095270.1?report=genbank&log$=prottop&blast_rank=2121&RID=1W6HPFAE013"",""WP_138095270.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia amylovora],Erwinia amylovora,76.3,76.3,98%,2e-15,74.47,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_168406028.1?report=genbank&log$=prottop&blast_rank=2122&RID=1W6HPFAE013"",""WP_168406028.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae subsp. pneumoniae],Klebsiella pneumoniae subsp. pneumoniae,76.3,76.3,98%,2e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDS8594131.1?report=genbank&log$=prottop&blast_rank=2123&RID=1W6HPFAE013"",""HDS8594131.1"")"
transcription/translation regulatory transformer protein RfaH [Mangrovibacter phragmitis],Mangrovibacter phragmitis,75.9,75.9,100%,2e-15,70.83,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_369938042.1?report=genbank&log$=prottop&blast_rank=2124&RID=1W6HPFAE013"",""WP_369938042.1"")"
transcriptional activator RfaH [Erwinia amylovora NBRC 12687 = CFBP 1232],Erwinia amylovora NBRC 12687 = CFBP 1232,76.3,76.3,94%,2e-15,75.56,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAJ90259.1?report=genbank&log$=prottop&blast_rank=2125&RID=1W6HPFAE013"",""GAJ90259.1"")"
transcription/translation regulatory transformer protein RfaH [Mixta sp. BE291],Mixta sp. BE291,75.9,75.9,98%,3e-15,72.34,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_352412932.1?report=genbank&log$=prottop&blast_rank=2126&RID=1W6HPFAE013"",""WP_352412932.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,75.9,75.9,100%,3e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_087749383.1?report=genbank&log$=prottop&blast_rank=2127&RID=1W6HPFAE013"",""WP_087749383.1"")"
transcription/translation regulatory transformer protein RfaH [Pantoea sp. BAV 3049],Pantoea sp. BAV 3049,75.9,75.9,100%,3e-15,72.92,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158781999.1?report=genbank&log$=prottop&blast_rank=2128&RID=1W6HPFAE013"",""WP_158781999.1"")"
transcriptional regulator [Mixta calida B021323],Mixta calida B021323,75.1,75.1,98%,3e-15,72.34,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0858283.1?report=genbank&log$=prottop&blast_rank=2129&RID=1W6HPFAE013"",""KAF0858283.1"")"
transcription/translation regulatory transformer protein RfaH [Erwinia pyrifoliae],Erwinia pyrifoliae,75.9,75.9,94%,3e-15,73.33,166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012666610.1?report=genbank&log$=prottop&blast_rank=2130&RID=1W6HPFAE013"",""WP_012666610.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,75.9,75.9,100%,3e-15,70.83,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCA8971745.1?report=genbank&log$=prottop&blast_rank=2131&RID=1W6HPFAE013"",""HCA8971745.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella aerogenes],Klebsiella aerogenes,75.9,75.9,98%,3e-15,74.47,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072383817.1?report=genbank&log$=prottop&blast_rank=2132&RID=1W6HPFAE013"",""WP_072383817.1"")"
